Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2020-12-13 12:55:15,Other,RISK OF RAIN FOR F1 RACE IS 0%,,,,,,1
2020-12-13 13:07:04,Drs,DRS DISABLED,DISABLED,,,,,1
2020-12-13 13:13:29,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2020-12-13 13:16:54,Drs,DRS ENABLED,ENABLED,,,,,2
2020-12-13 13:29:19,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,10
2020-12-13 13:29:35,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,10
2020-12-13 13:32:35,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,11
2020-12-13 13:37:12,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,13
2020-12-13 13:37:17,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,13
2020-12-13 13:38:45,Flag,TRACK CLEAR,,CLEAR,Track,,,13
2020-12-13 13:42:14,Drs,DRS ENABLED,ENABLED,,,,,15
2020-12-13 13:43:40,Other,PIT LANE INCIDENT INVOLVING CAR 55 (SAI) UNDER INVESTIGATION - DRIVING UNNECESSARILY SLOWLY,,,,,,16
2020-12-13 13:46:30,Other,CAR 16 (LEC) TIME 1:44.596 DELETED - TRACK LIMITS AT TURN 21,,,,,,18
2020-12-13 13:47:58,Other,CAR 16 (LEC) TIME 1:44.936 DELETED - TRACK LIMITS AT TURN 21,,,,,,19
2020-12-13 14:01:29,Other,PIT LANE INCIDENT INVOLVING CAR 55 (SAI) WILL BE INVESTIGATED AFTER THE RACE,,,,,,27
2020-12-13 14:09:07,Other,CAR 16 (LEC) TIME 1:42.686 DELETED - TRACK LIMITS AT TURN 21,,,,,,31
2020-12-13 14:10:41,Other,CAR 16 (LEC) TIME 1:43.273 DELETED - TRACK LIMITS AT TURN 21,,,,,,32
2020-12-13 14:15:14,Flag,WAVED BLUE FLAG FOR CAR 51 (FIT) TIMED AT 18:15:14,,BLUE,Driver,,51,35
2020-12-13 14:17:34,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 18:17:33,,BLUE,Driver,,20,36
2020-12-13 14:20:12,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 18:20:12,,BLUE,Driver,,6,38
2020-12-13 14:20:46,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 18:20:45,,BLUE,Driver,,99,38
2020-12-13 14:23:35,Other,CAR 44 (HAM) TIME 1:41.452 DELETED - TRACK LIMITS AT TURN 21,,,,,,40
2020-12-13 14:24:59,Other,CAR 44 (HAM) TIME 1:41.429 DELETED - TRACK LIMITS AT TURN 21,,,,,,41
2020-12-13 14:25:37,Other,CAR 6 (LAT) TIME 1:42.773 DELETED - TRACK LIMITS AT TURN 21,,,,,,41
2020-12-13 14:26:49,Other,CAR 6 (LAT) TIME 1:43.593 DELETED - TRACK LIMITS AT TURN 21,,,,,,42
2020-12-13 14:27:34,Flag,WAVED BLUE FLAG FOR CAR 51 (FIT) TIMED AT 18:27:34,,BLUE,Driver,,51,42
2020-12-13 14:27:57,Other,CAR 4 (NOR) TIME 1:42.794 DELETED - TRACK LIMITS AT TURN 21,,,,,,43
2020-12-13 14:28:08,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 18:28:08,,BLUE,Driver,,63,43
2020-12-13 14:28:09,CarEvent,CAR 18 (STR) MISSED THE APEX OF TURN 9,,,,,18,43
2020-12-13 14:28:53,Other,CAR 4 (NOR) TIME 1:42.647 DELETED - TRACK LIMITS AT TURN 21,,,,,,43
